SKU_ID,Lag_Period,Model,Date,Actual,Forecast,CI_Lower,CI_Upper,Error,Abs_Error
3,12,Prophet,2023-09-30,832.056039,969.946842539729,901.229100877625,1034.38612755589,-137.89080353972895,137.89080353972895
3,12,Prophet,2023-10-31,1151.4042728,1058.1598660165268,992.5213961962658,1122.9211353742455,93.2444067834731,93.2444067834731
3,12,Prophet,2023-11-30,956.50535,962.1038469729929,898.59228052481,1023.4347339789226,-5.598496972992848,5.598496972992848
3,12,Prophet,2023-12-31,1151.7833992,1072.3150085845923,1007.3438656863323,1137.7094971184815,79.46839061540777,79.46839061540777
3,12,Prophet,2024-01-31,845.1081423,916.5250919957647,852.0180768957828,981.3904653905373,-71.41694969576463,71.41694969576463
3,12,Prophet,2024-02-29,750.5984798,756.4702326025035,690.8946515404837,822.0550492914764,-5.871752802503579,5.871752802503579
3,12,Prophet,2024-03-31,823.5144856000001,723.080361227744,652.7645822453482,784.1772377057551,100.43412437225606,100.43412437225606
3,12,Prophet,2024-04-30,603.3620255000001,613.9853754761904,546.3392931097804,680.9170105780524,-10.623349976190298,10.623349976190298
3,12,Prophet,2024-05-31,605.121396,710.5072326513616,645.6736800984617,776.5240389714573,-105.38583665136161,105.38583665136161
3,12,Prophet,2024-06-30,809.0369699,664.3176470123086,601.726278067648,733.8976436260609,144.71932288769142,144.71932288769142
4,12,Prophet,2023-07-31,834.8537087,725.6722236730541,639.7854211928205,808.1285415284771,109.1814850269459,109.1814850269459
4,12,Prophet,2023-08-31,662.557178,720.4456845340287,640.6154287986885,798.9212943883656,-57.88850653402869,57.88850653402869
4,12,Prophet,2023-09-30,707.2282094,802.8843917117206,723.1460505551635,884.2259823083338,-95.65618231172061,95.65618231172061
4,12,Prophet,2023-10-31,1041.4344492999999,941.894220368835,867.2156859322207,1027.1921941815679,99.54022893116485,99.54022893116485
4,12,Prophet,2023-11-30,897.8106438,784.7709612351794,697.0921088249913,861.4176057675845,113.03968256482062,113.03968256482062
4,12,Prophet,2023-12-31,1044.0805252,920.2292640556186,841.572455461386,999.8354005501501,123.8512611443814,123.8512611443814
4,12,Prophet,2024-01-31,709.6264595,792.5598813171093,711.8268391221468,873.5712644999203,-82.93342181710932,82.93342181710932
4,12,Prophet,2024-02-29,693.8584719,720.099536164738,638.1812274610485,798.7453654538856,-26.24106426473793,26.24106426473793
4,12,Prophet,2024-03-31,1001.0203061,767.7147097379166,683.4247633776505,846.450058871179,233.3055963620834,233.3055963620834
4,12,Prophet,2024-04-30,872.4965758000001,848.3341996617464,769.3981963262345,924.3974992837648,24.16237613825365,24.16237613825365
4,12,Prophet,2024-05-31,898.7700419,1049.9148758932558,961.5513869512408,1133.2907697445999,-151.14483399325582,151.14483399325582
4,12,Prophet,2024-06-30,970.0056213,838.6891247826039,757.819449445245,928.4977825738072,131.3164965173961,131.3164965173961
5,12,Prophet,2023-07-31,925.8836251,791.4922928220262,730.6784206599986,849.252619805856,134.3913322779738,134.3913322779738
5,12,Prophet,2023-08-31,729.3842251,744.0608722220223,681.8296409420993,808.9932808108842,-14.67664712202236,14.67664712202236
5,12,Prophet,2023-09-30,736.0474045999999,830.4063250245555,769.9613366938099,892.5258631709851,-94.35892042455555,94.35892042455555
5,12,Prophet,2023-10-31,930.1641924,848.4669594495895,784.3101930944323,910.5054608721292,81.69723295041058,81.69723295041058
5,12,Prophet,2023-11-30,765.7950106000001,746.0292056765537,678.7813753649548,809.5290973429488,19.765804923446353,19.765804923446353
5,12,Prophet,2023-12-31,944.3963242,875.4610938851687,814.2228172718848,939.4724058321067,68.9352303148313,68.9352303148313
