SKU_ID,Lag_Period,Model,Date,Actual,Forecast,Error,Abs_Error
8,3,XGBoost,2024-04-30,750.400746,750.91583,-0.5150865195312235,0.5150865195312235
8,3,XGBoost,2024-05-31,772.3285901,730.725,41.60361451406254,41.60361451406254
9,3,XGBoost,2024-03-31,1166.2357165,846.3862,319.8494860312501,319.8494860312501
9,3,XGBoost,2024-04-30,875.3614095,843.9599,31.401509597656286,31.401509597656286
9,3,XGBoost,2024-05-31,763.3987228999999,902.43396,-139.03523706093756,139.03523706093756
10,3,XGBoost,2024-03-31,13.3629899,78.03902,-64.67602682363281,64.67602682363281
10,3,XGBoost,2024-04-30,15.935133616,69.787094,-53.851960500210936,53.851960500210936
10,3,XGBoost,2024-05-31,100.46723784,117.26533,-16.798089613613286,16.798089613613286
1,6,XGBoost,2023-12-31,852.1713341,886.51624,-34.34490125156253,34.34490125156253
1,6,XGBoost,2024-01-31,721.7800454000001,855.6672,-133.8871298929687,133.8871298929687
1,6,XGBoost,2024-02-29,805.6296277,782.47174,23.157886977343765,23.157886977343765
1,6,XGBoost,2024-03-31,1068.084289,940.09814,127.9861444687499,127.9861444687499
1,6,XGBoost,2024-04-30,819.7981714,745.0202,74.77796876328125,74.77796876328125
1,6,XGBoost,2024-05-31,785.1561058,899.75525,-114.59914322343752,114.59914322343752
2,6,XGBoost,2023-12-31,1038.023498,744.9171,293.1063837421875,293.1063837421875
2,6,XGBoost,2024-01-31,716.257886,839.2338,-122.97593968359377,122.97593968359377
2,6,XGBoost,2024-02-29,813.968407,741.48346,72.4849475273437,72.4849475273437
2,6,XGBoost,2024-03-31,971.7714255,820.9554,150.8160421992187,150.8160421992187
2,6,XGBoost,2024-04-30,763.6624749,689.61816,74.0443108375,74.0443108375
2,6,XGBoost,2024-05-31,817.3517658999999,767.29315,50.05861404453117,50.05861404453117
3,6,XGBoost,2023-12-31,1151.7833992,821.8088,329.9746223445313,329.9746223445313
3,6,XGBoost,2024-01-31,845.1081423,910.89343,-65.78529031718745,65.78529031718745
3,6,XGBoost,2024-02-29,750.5984798,929.1085,-178.51004070781255,178.51004070781255
3,6,XGBoost,2024-03-31,823.5144856000001,746.13324,77.38124585390631,77.38124585390631
3,6,XGBoost,2024-04-30,603.3620255000001,619.86017,-16.498142957031178,16.498142957031178
3,6,XGBoost,2024-05-31,605.121396,651.3528,-46.231387203124996,46.231387203124996
4,6,XGBoost,2023-12-31,1044.0805252,710.80524,333.27528838359376,333.27528838359376
4,6,XGBoost,2024-01-31,709.6264595,824.75793,-115.13147507031249,115.13147507031249
4,6,XGBoost,2024-02-29,693.8584719,930.7294,-236.87089821718746,236.87089821718746
4,6,XGBoost,2024-03-31,1001.0203061,901.5563,99.46403168593747,99.46403168593747
4,6,XGBoost,2024-04-30,872.4965758000001,850.6677,21.828851190625073,21.828851190625073
4,6,XGBoost,2024-05-31,898.7700419,756.74524,142.02480264218752,142.02480264218752
5,6,XGBoost,2023-12-31,944.3963242,743.73956,200.65676121171873,200.65676121171873
5,6,XGBoost,2024-01-31,747.7729711,868.8681,-121.0951319273438,121.0951319273438
5,6,XGBoost,2024-02-29,769.6011282,786.3278,-16.7266916242188,16.7266916242188
5,6,XGBoost,2024-03-31,962.9258588,917.3173,45.608537022656265,45.608537022656265
5,6,XGBoost,2024-04-30,784.1037487,769.8886,14.215137860156233,14.215137860156233
5,6,XGBoost,2024-05-31,789.5399907,744.49054,45.049451149218726,45.049451149218726
6,6,XGBoost,2023-12-31,151.659987179,230.85048,-79.19049194697655,79.19049194697655
6,6,XGBoost,2024-01-31,17.441977154,96.8836,-79.44162117363672,79.44162117363672
6,6,XGBoost,2024-02-29,30.602927432999998,22.162958,8.439969287858396,8.439969287858396
6,6,XGBoost,2024-03-31,0.0,18.21309,-18.213090896606445,18.213090896606445
6,6,XGBoost,2024-04-30,0.0,0.0,0.0,0.0
6,6,XGBoost,2024-05-31,0.0,1.5002377,-1.5002377033233643,1.5002377033233643
7,6,XGBoost,2023-12-31,1.411409504,60.085426,-58.67401682656641,58.67401682656641
7,6,XGBoost,2024-01-31,24.867678659,123.53046,-98.66277788396874,98.66277788396874
7,6,XGBoost,2024-02-29,105.09981122,128.7387,-23.63888201730468,23.63888201730468
7,6,XGBoost,2024-03-31,122.21253328,130.62184,-8.40930815066406,8.40930815066406
7,6,XGBoost,2024-04-30,19.764062374,106.61721,-86.85314801418359,86.85314801418359
7,6,XGBoost,2024-05-31,0.0,30.292542,-30.29254150390625,30.29254150390625
8,6,XGBoost,2023-12-31,975.1431503,701.5703,273.5728378,273.5728378
8,6,XGBoost,2024-01-31,775.4086244,842.12885,-66.72022081484374,66.72022081484374
8,6,XGBoost,2024-02-29,758.2221809,709.9741,48.24805980625001,48.24805980625001
8,6,XGBoost,2024-03-31,931.0711549,834.1209,96.95024425546876,96.95024425546876
8,6,XGBoost,2024-04-30,750.400746,749.5038,0.8969618203125265,0.8969618203125265
8,6,XGBoost,2024-05-31,772.3285901,727.9929,44.33567017812504,44.33567017812504
9,6,XGBoost,2023-12-31,1120.8301724,929.7725,191.0576504273438,191.0576504273438
9,6,XGBoost,2024-01-31,966.8872371,1004.3597,-37.47244307578126,37.47244307578126
9,6,XGBoost,2024-02-29,979.225859,859.9632,119.26266319921876,119.26266319921876
9,6,XGBoost,2024-03-31,1166.2357165,862.92163,303.3140856406251,303.3140856406251
9,6,XGBoost,2024-04-30,875.3614095,818.0555,57.305928542968786,57.305928542968786
9,6,XGBoost,2024-05-31,763.3987228999999,841.89813,-78.49940942421881,78.49940942421881
10,6,XGBoost,2023-12-31,165.57383852,133.98935,31.584489154765635,31.584489154765635
10,6,XGBoost,2024-01-31,29.44887271,94.870186,-65.42131314205078,65.42131314205078
10,6,XGBoost,2024-02-29,5.453175017,48.860798,-43.40762286508008,43.40762286508008
10,6,XGBoost,2024-03-31,13.3629899,93.56579,-80.20279836904297,80.20279836904297
10,6,XGBoost,2024-04-30,15.935133616,82.8588,-66.92366917941015,66.92366917941015
10,6,XGBoost,2024-05-31,100.46723784,110.61321,-10.145974745449223,10.145974745449223
1,12,XGBoost,2023-07-31,843.4973645,816.17236,27.325001218750003,27.325001218750003
1,12,XGBoost,2023-08-31,751.9935418,734.8111,17.182445608593753,17.182445608593753
1,12,XGBoost,2023-09-30,819.8872408,816.5753,3.3119234171874723,3.3119234171874723
1,12,XGBoost,2023-10-31,1005.9880907,777.2401,228.74797839531254,228.74797839531254
